,total_rmse_1,total_mape_1,total_corr_1,train_rmse_1,train_mape_1,train_corr_1,test_rmse_1,test_mape_1,test_corr_1,total_rmse_2,total_mape_2,total_corr_2,train_rmse_2,train_mape_2,train_corr_2,test_rmse_2,test_mape_2,test_corr_2,total_rmse_3,total_mape_3,total_corr_3,train_rmse_3,train_mape_3,train_corr_3,test_rmse_3,test_mape_3,test_corr_3,total_rmse_4,total_mape_4,total_corr_4,train_rmse_4,train_mape_4,train_corr_4,test_rmse_4,test_mape_4,test_corr_4,total_rmse_5,total_mape_5,total_corr_5,train_rmse_5,train_mape_5,train_corr_5,test_rmse_5,test_mape_5,test_corr_5,total_rmse_6,total_mape_6,total_corr_6,train_rmse_6,train_mape_6,train_corr_6,test_rmse_6,test_mape_6,test_corr_6,total_rmse_7,total_mape_7,total_corr_7,train_rmse_7,train_mape_7,train_corr_7,test_rmse_7,test_mape_7,test_corr_7,total_rmse_8,total_mape_8,total_corr_8,train_rmse_8,train_mape_8,train_corr_8,test_rmse_8,test_mape_8,test_corr_8,total_rmse_9,total_mape_9,total_corr_9,train_rmse_9,train_mape_9,train_corr_9,test_rmse_9,test_mape_9,test_corr_9,total_rmse_10,total_mape_10,total_corr_10,train_rmse_10,train_mape_10,train_corr_10,test_rmse_10,test_mape_10,test_corr_10,total_rmse_11,total_mape_11,total_corr_11,train_rmse_11,train_mape_11,train_corr_11,test_rmse_11,test_mape_11,test_corr_11,total_rmse_12,total_mape_12,total_corr_12,train_rmse_12,train_mape_12,train_corr_12,test_rmse_12,test_mape_12,test_corr_12,total_rmse_13,total_mape_13,total_corr_13,train_rmse_13,train_mape_13,train_corr_13,test_rmse_13,test_mape_13,test_corr_13,total_rmse_14,total_mape_14,total_corr_14,train_rmse_14,train_mape_14,train_corr_14,test_rmse_14,test_mape_14,test_corr_14
California(E1),1385.6135824589146,27.66390989360119,,1121.8018586350158,28.827263692957416,0.9414561601578391,2090.2654092864486,23.356356636525437,0.608632839962175,1511.8025720723263,25.552473224462958,0.898522240503319,1211.5353499141204,25.286019098154245,0.9346725178327161,2305.0715418593472,26.539073638092532,0.5860709128608441,1660.2221757597363,25.590280601583395,0.8859549193072321,1327.55895061815,24.42073077838,0.9257798544996517,2537.0349045351204,29.920775892904057,0.5755616931243319,1814.332045157354,25.707901977185593,0.8726317109268432,1458.1283654830588,23.99314879432714,0.9139090994857472,2758.2425992990934,32.05712322182363,0.5721366208055537,1957.27996503352,25.931966261585526,0.8610934249408547,1582.8410731548254,23.80310191219098,0.9020644150724605,2956.19616203593,33.814518041776154,0.610110267783643,2088.4589837570866,26.856375900477374,0.8512284628952267,1663.7797895707283,24.40453263015335,0.8968955538457128,3203.421500597736,35.934822604109556,0.6044016398746451,2234.323763094821,27.563402296789597,0.8387053504246421,1761.6563278126769,24.678006829578706,0.8896221269680866,3462.0449458270305,38.247163891597495,0.6012144839531945,2392.9313321338677,28.193489977214643,0.8236135198089418,1878.974589007008,24.733833328666105,0.8785898795354791,3722.3220315877834,41.00357000021872,0.6695604493977035,2537.776479240344,28.67412151395639,0.8106364483155503,1969.4837759857392,24.696332086301673,0.8721121190314896,3990.560336877268,43.40269317851577,0.6897699143380599,2691.1051707686306,29.07996652155746,0.7963863253860948,2072.9424024361183,24.58308140201866,0.864622939227308,4259.852893859441,45.73059520741733,0.6710511428714262,2840.05588679959,29.856377636890834,0.7829294815745255,2171.3261603597593,25.034032222612417,0.8582444130037625,4524.890875842462,47.71208903570546,0.6424489914571794,2989.398783755084,30.745661363642213,0.7694655997795011,2295.3686218192915,25.69971763757038,0.8481502960425504,4745.232718049581,49.42929083585414,0.6462666245175371,3128.991104350766,31.369676821302445,0.7581249868548731,2399.2596544669905,26.081201708376067,0.8414609125031357,4972.705565557043,50.9513279151109,0.6453315284407716,3293.257187985156,32.109275396459175,0.7409305556575695,2519.5872032535153,26.558827706999537,0.8318390508897118,5243.798577352214,52.66093305743137,0.6155012553409487
California(E2),1058.2031610578574,17.102483370931495,0.9363919131930223,895.5552611920298,16.513188944637452,0.9567793148593697,1515.394069624806,19.28446543585808,0.7933878005995373,1058.4795718193977,17.01468531393291,0.9355717861305932,900.9917928547605,16.541946083911256,0.9562668876704834,1504.3292103971992,18.765098138607694,0.7979295167762798,1060.0868051761388,16.953001720337046,0.9346510121760652,906.3072924183731,16.51857222856617,0.9557250538141357,1497.8145662359632,18.561564973650817,0.8216244171337269,1063.0065699086797,17.021745485755705,0.933635266473556,967.1014608679192,16.907673268877616,0.9506454479908294,1360.4744710443563,17.444120991493484,0.8133967031857271,1049.6314371471194,17.026348120779726,0.9347450432402528,1037.5258778382536,17.484651533013622,0.9448163074711333,1093.2883451073055,15.329386837643396,0.8263570893441844,1046.9504052257853,17.654198376911427,0.9343951433016501,1046.24072429691,18.151394346316458,0.9442825992301656,1049.5739649087814,15.813229517222554,0.8006293549040621,1038.4013954349687,17.964870008936032,0.935025358388482,1046.2655811217287,18.638799175240376,0.9444742798726984,1008.7490168695572,15.469510663430771,0.7972360799267619,1013.073053132463,17.54581291828703,0.9383279197552635,1055.4879604946727,18.47354329153056,0.9444071165874064,837.526079471699,14.110703157898815,0.8210833940689967,995.3425345013808,17.4242194923537,0.9409648192769605,1038.6694959447664,18.185515619186134,0.946787345506749,815.1052713375685,14.605366265974167,0.7996624141912141,998.621435596968,17.303338923140107,0.941934225533461,1028.49977144304,17.730328477944948,0.9484114689107659,879.1946010899818,15.722323544538414,0.7965322223980961,1031.7227430068601,17.420231920158546,0.9399831266839289,1050.0245310865575,17.705947364832156,0.9472209801014475,960.9266182869226,16.36231257096168,0.7851487150145273,1075.686946156365,17.49898977569093,0.9374693214227209,1094.063676879153,17.79188853367047,0.9442379992795144,1004.721268120995,16.414472752901823,0.8208510073164673,1140.3739569831853,17.804487463373064,0.9326318269174024,1145.1687258240877,17.71789141496665,0.9407505775114622,1122.4420444225007,18.125126885850882,0.7886932647459202,1231.5308678556175,18.414443958353292,0.924697509704585,1222.0042714473313,17.900653530628304,0.9345254277804242,1266.1811306002849,20.316857163713355,0.7538146727138537
California(E3),1226.5146052537152,17.89752004445159,0.9246749331832623,991.8664590955603,16.79380224432056,0.9510014670810698,1852.495412867553,21.984258926017837,0.6888478580225378,1313.7419138806345,18.588759894216846,0.9173638912932164,1040.9698125514672,16.93939555656236,0.9479492978309817,2025.873274469383,24.69586568499159,0.6617790938827681,1400.4944941056635,19.077235784007435,0.9098087913663285,1090.6351873772487,16.75890251770276,0.9448099978869424,2195.3359635705315,27.661334634919317,0.648035216627207,1489.384497297016,19.856668520678824,0.9019945214589047,1167.1268198863377,17.262845322255956,0.9381583631845625,2321.223865099673,29.460824687812142,0.6435753791318337,1578.0661590929585,20.596361869839797,0.8947445350468736,1256.0826025599727,17.867775212549237,0.9300491549800493,2422.641441609677,30.69950706034808,0.6763513635423102,1669.3756089994745,21.787814509887937,0.8875178382436641,1307.651139763284,18.947398433720654,0.9268759353923058,2602.713972339798,32.30503079191272,0.6627104862762183,1779.444964089163,22.639441478770237,0.8782848726144459,1373.1672200838095,19.425577020327058,0.9226740010103113,2812.290865727632,34.539426095167975,0.646696522972067,1898.898872302183,23.47458751019499,0.8685211746918384,1451.6023170218377,19.836655450689985,0.9168767354219635,3025.7127507362516,36.944768379172984,0.6949812832584585,2003.0047867809228,24.01435599217744,0.8618865386927287,1497.5430546309574,19.896720168645714,0.9159492336338341,3250.16373864477,39.26073728471384,0.7022718134868551,2114.8840919928425,24.34335908180195,0.8551049313279354,1557.4361045069907,19.66842692912652,0.9144644998941246,3471.6911240037684,41.65324299846503,0.7008196303372913,2235.070108332627,25.19089621238148,0.8467846023452371,1635.1480915714158,20.195746605117947,0.911158248345987,3686.8118072121156,43.6864501636005,0.6932168342211006,2361.907356846207,26.018446255131362,0.8371160797287462,1742.5258019882876,20.795642907148586,0.9043978931745579,3871.9058498469085,45.35693432739188,0.6951962551682629,2481.231697137549,26.576998216174204,0.828347094424405,1829.0003355779695,21.125557365455442,0.9003376859195975,4070.1108381732274,46.76206298775448,0.6707461568175626,2614.094598128182,27.2674515082104,0.8164187652432935,1921.9694666335906,21.553991889784033,0.8950881700065152,4296.302402737806,48.42269387914045,0.6342745323951593
California(E4),1038.3168224412232,16.20184217294417,0.9394093390354089,940.0708145561376,16.01842531172541,0.9537608048682414,1340.8173954206768,16.880980280700093,0.8351833759472314,1048.0217380319546,15.970240043565573,0.9382658188128705,952.732872408509,15.61316808914522,0.9528032323922557,1343.2306169792207,17.292371334257133,0.8447837047757805,1056.999868874246,15.96409696339414,0.937281079509809,959.6343835073661,15.286919172355326,0.9523106870948477,1358.0414276999027,18.4714850004838,0.8680436667135653,1084.4545291808345,16.463399257921047,0.9347703857939943,1004.0554971869599,15.773665799430455,0.948804622909456,1340.8124143107984,19.01727719881864,0.8585518630358676,1114.9944027473327,16.9490727370614,0.9330084930959283,1058.7206234711612,16.276068938661652,0.9447822370623342,1302.3589412264093,19.44100572032533,0.8732444573019409,1173.3303608196268,17.683591093025676,0.9288012308066285,1088.5648191515752,16.69461208712497,0.9432536337955918,1444.515896887328,21.34548633109046,0.8478661766063669,1254.076344549373,18.433084402986125,0.9229474435150086,1130.9037733735602,17.070409890953663,0.9408897413686136,1631.0820728547462,23.478663001592786,0.8245946404332087,1342.2613761255147,19.222696863565687,0.9171691308698048,1174.7665274420951,17.275090721318136,0.9386901175115812,1833.7625530961811,26.43410339026606,0.8252825442627079,1425.9770921908819,19.80984337128939,0.9122018396105999,1205.6281360478351,17.266894675868436,0.9381727846455387,2044.6276698249853,29.225626378658877,0.8051201368177869,1522.8799024250695,20.431551554531232,0.9058024758962252,1263.2910260370768,17.30866429344488,0.9352503629162365,2235.436462967893,31.99467465639151,0.8094755475665663,1636.6257692931215,21.145107210466737,0.8960398944263894,1349.6140861842364,17.59946298106348,0.9290148281156859,2419.106766318653,34.273573681500444,0.8017684000093126,1747.4309896968641,21.85960695841625,0.8858846260011092,1454.9512836342487,17.999460177866478,0.9202566253358223,2553.7392696466472,36.15258287558704,0.8255330857499334,1854.5606198848648,22.49231426683222,0.8748093368849326,1540.7588469504067,18.411115272845986,0.913087998651949,2717.4375061889073,37.603780812132584,0.7895275733370658,1965.2532441415083,23.149428707168315,0.862069499182573,1623.2992275629388,18.775106635860176,0.9055969379204933,2899.289671652754,39.346242863093046,0.7482311036486172
California(ESB),1089.1008562897491,16.571363687598264,0.9353591460280573,1101.0744689541627,16.72217320011172,0.9409472331719291,1014.8121902804339,15.67253899301807,0.7376690083145716,1124.8279416181297,16.824483778776784,0.9320466404162172,1126.916407366373,16.837402181155316,0.938542426293162,1112.2993572787927,16.747490100600732,0.7158913519808687,1162.487479922807,17.288982007948732,0.9287968591152802,1148.942458228851,16.95341114333535,0.9366613491932718,1240.1512077843438,19.28898436104448,0.6978702246017626,1202.373430713305,17.785839198381915,0.9255202869227915,1182.9328104774404,17.297660786517156,0.9337817813824936,1312.279692086026,20.6953825330959,0.7076824404390759,1235.548251717494,18.314203041383017,0.9236301492412828,1219.265419387871,17.776959974366,0.9311060085857924,1328.460968936733,21.516171720804426,0.7731787706433364,1277.0273995559483,19.09075270542211,0.9210134947448719,1238.4247170774875,18.254250552112374,0.930732621497493,1486.4501496288854,24.076305539148127,0.6545070428800008,1332.2156267620885,19.470566749226954,0.9176485344675174,1270.9692444125476,18.401781398604918,0.9294992526076487,1650.76799872976,25.84052743893428,0.5623579423427623,1392.2993660873758,19.887512732833546,0.9150431210369128,1312.6746284940562,18.513862121855336,0.9282623750494398,1795.0429738918504,28.074470374263655,0.557485971287628,1449.7584634115776,20.200295773639,0.9135912653316125,1350.647992910755,18.6083424017489,0.9284661772886836,1938.0390158746038,29.688337870104004,0.47522765963091435,1525.2532124383506,20.419314028269277,0.9110425980198315,1403.7426675118616,18.365190417473332,0.9276705941706012,2108.929709448906,32.66189074861315,0.4740132060033911,1619.8530985346808,21.171213553857932,0.9060304734065233,1498.8407997072793,18.929685604700904,0.9224976719868414,2207.5393441352962,34.53072013083383,0.5474565059722787,1724.6694761106162,21.792275049956228,0.8998031279903844,1607.6659317837725,19.349059809196277,0.9157787638650285,2301.7948043516344,36.35383788488551,0.6472250959388175,1832.1888308787077,22.48260591225197,0.8928207535636996,1694.4167880479895,19.824101149705562,0.9116034171586201,2500.537375815145,38.32729429702858,0.516911036630289,1958.7433875357378,23.274891966532145,0.8825034731960345,1822.979128149318,20.507081759318847,0.9018764285443021,2626.152182801806,39.77104080152339,0.5228755438333067
Arizona(E1),603.7443642163521,31.276792167303537,0.885701197153855,632.0262999135858,29.33723715594797,0.8905896235801545,484.8688977447161,38.45838774989035,0.5492070651590061,633.1071328115219,34.250140766494184,0.8740613172810316,657.3896577246492,32.072155624106905,0.8799251990191286,533.6617117539898,42.31457223965789,0.46560033449996446,675.2268256043099,37.39949756130455,0.8580727590890435,701.9166366400739,35.51641058547219,0.8631383454684978,565.5403087459108,44.372008796143305,0.45919246184821,705.465580399931,39.5184672914828,0.8480285457612542,737.2774468032213,37.982277574314296,0.8506616578062465,572.4868135879542,45.20652110910672,0.557371238330986,760.0633338389288,42.709690822265635,0.8244696314243075,788.3014451059136,40.46195135859385,0.8302845150658861,644.8281809045866,51.03240180937468,0.33256626975684417,782.2265449485956,44.88395233289166,0.8168708061268576,805.3812108500659,42.09411110822519,0.8254781192989512,689.7572502874572,55.21390497557562,0.25832010883448414,842.2302393752402,47.160989596538336,0.7902499671742835,862.2313708967015,44.14352437020136,0.7997834882694357,763.6244775649283,58.33376624540768,0.17803320404844014,893.1763257156894,49.0020957677783,0.765547603480993,915.2945406109435,46.27999360780485,0.7743995886880367,806.0119698093692,59.08123079254488,0.14238780406329185,939.816840457413,50.75324881856634,0.7417962658833742,960.4279057215798,47.956059456240446,0.7511748836774463,859.206253461351,61.11040943042171,0.07073809330039366,980.4872136682937,52.20197900005276,0.7191575913005271,1002.6208027001394,49.53485539484272,0.7276585407360661,893.7736534627209,62.07754478150617,0.04464494449829778,1023.2011226758535,53.5358740316465,0.6938279819128447,1051.7748356884813,51.13962128362514,0.6990490298747642,909.6197859123619,62.408485558103955,0.10298135807927951,1057.1018954680633,54.66944738693444,0.67289781269125,1085.1426000818833,52.367644727173854,0.6776272903750631,946.0670689865497,63.192338316318285,0.06342221865764412,1083.8580063609857,55.9115899677602,0.6567635779371186,1112.4239560423289,53.7154105139678,0.6601542981368044,970.7959401044087,64.0433895669375,0.07329299087002211,1136.84420430927,57.846186299669014,0.6176143181622253,1168.79386904732,55.801018620218514,0.6196817482194453,1009.7809204122393,65.41883419385063,0.004834137966301098
Arizona(E2),1104.0050831479743,53.35203058526837,0.76595728352414,840.7094553888434,48.01808191553675,0.8628553812307604,1764.8625985963242,73.10205674076113,0.5424269659883427,1146.158826435578,53.1103483830414,0.7492428487377701,857.9921915763955,47.19770924280096,0.8564915861933537,1857.9827576948805,75.00309330771542,0.5229996352942907,1165.0271933658323,57.07435626777782,0.7339372251790395,860.9142514646319,51.97982017910502,0.8494452302426578,1907.5059855078257,75.93790881232313,0.521468104976163,1175.590387901992,60.58998809854626,0.7233625172309743,865.4723158918325,56.40405246600778,0.8430258830639851,1930.2108910854176,76.089263278486,0.516481928019802,1181.1425377952874,52.32295618485936,0.7136221758792822,859.7554282605781,46.18458530893645,0.8409642190123368,1955.4457675836359,75.05151861733064,0.205853866404667,1180.8039869354727,51.827482910321535,0.707015973147188,858.5434505221174,45.86760546827261,0.8377122987079495,1956.455650352051,73.89513722277297,0.0020696501314401983,1189.0723142427378,51.79361407324004,0.6990615036151517,849.1223852184896,45.38272390441587,0.8375617973667834,1994.852615858525,75.53123442807555,0.03374413103982579,1189.9705372831131,51.30263331669782,0.6943336646250069,844.2113021872843,44.549892925706,0.8359792643857351,2005.0631589111433,76.30602341307298,0.06220756320255961,1188.4578068405344,52.72446921065761,0.6912746331354721,834.052570209694,46.12328001010712,0.8367235114027529,2016.552954590753,77.16671030458778,0.12447703281551589,1182.3972052775869,56.55504844284336,0.6900631671518781,822.2900224565442,50.887164141712795,0.8381845284383791,2017.684969792402,77.54153896324573,0.17939065559412556,1178.0313064127758,54.74713845294706,0.688114671478533,818.1046551667314,48.581312124394486,0.8370988523780005,2011.9669277161015,77.57736026407423,0.23841956232527017,1171.637014788427,74.3244849481353,0.6872248802520088,804.615274818785,73.3791912265975,0.8398334255171178,2014.5484826084644,77.82462656572123,0.19115776456475603,1166.8574988912892,70.70602425923394,0.6857154303119676,797.3360660170422,68.792242389376,0.8406370774289316,2012.2179483774512,77.79218956114028,0.012803248734892404,1164.461507226732,59.486017679604466,0.6827881223752063,793.1445669252294,54.50199596746309,0.8401727999862426,2011.8242163117923,77.94036834347924,-0.06388758827216084
Arizona(E3),679.0008354953533,89.99195490187326,0.8807372666932733,686.5498162882622,102.44817754090153,0.8917407896602593,650.2866797610759,43.8702656708768,0.5492686005480355,725.7194584732231,54.38291210287349,0.8679576280164675,723.4219682064304,55.920174546858156,0.8819763307792684,734.1637879578345,48.69088629676811,0.4810629880288964,771.5044182469157,57.05598512928417,0.8541982672889759,764.9901851161956,58.73294028183591,0.8698245233688776,795.1601913699586,50.846718753619626,0.4892392342545286,816.1469477991652,58.42309170489367,0.8408877441214265,809.5867730393293,60.07822321557188,0.8565828456710747,839.9913839316367,52.29463178697711,0.5708989353036394,869.2824785052869,56.78287348104251,0.8216249805273762,846.6714689129577,56.319025712964155,0.8452989534256606,948.32212888268,58.50036386554882,0.32923945273865907,918.3910896107055,164.5600570163008,0.8025085005546532,884.9266782851557,191.93754838847633,0.8326866219487716,1032.903225510548,63.189345719326504,0.21368574350106193,968.5745450372576,58.3028746436961,0.7840164010943494,913.8040753183235,56.31135472707983,0.8218555770073783,1148.8606143175211,65.67688082143745,0.15905438579753406,1014.7111250315058,72.1681811018824,0.7643393653009913,945.2252094915673,73.568387700321,0.8083428338339292,1238.5080678360325,66.98363234550166,0.12019190299336364,1056.9472812971005,90.74997311816894,0.7445491645986646,969.5040222261728,96.67742623643181,0.796083924207251,1331.636078830039,68.8023764370334,0.07386841045436016,1086.7093188190786,77.4836238488209,0.729445590836904,980.8194033233174,79.58817117468054,0.7884480285003622,1411.2304849646969,69.69111077739466,0.034746416685613055,1114.3811709183228,85.85132454227835,0.7143370419686637,997.1675343055166,90.07317339503828,0.7776326710090713,1469.1061360397382,70.21907338476183,0.07916118081870951,1138.9574026965865,76.36559541997059,0.699424869326056,1001.0466487211633,77.80229099176333,0.7716322949575528,1545.9628164814908,71.04593884333251,0.030910726370140224,1165.8797595421763,87.43206501715046,0.6819848197676021,1012.5564796676366,91.61706132232355,0.7616210094090056,1611.2097287169017,71.93626788718517,0.007802190490815794,1193.456506315144,124.89501052806663,0.663175797492742,1021.8315807820294,138.76332648125108,0.7523026613768534,1682.88472939414,73.54475956627556,-0.06255041323933867
Arizona(E4),938.6615161747217,50.492352772510515,0.8052760726538557,778.3745206840123,45.847846055348995,0.8693668084135486,1378.454896469166,67.68958034686537,0.5507250990748972,961.4636735815545,259.1954746769795,0.7940225146469042,789.529153681147,310.42386612316875,0.8630475687112777,1427.9823779965293,69.51197121406241,0.5235759859540381,953.2585675544659,59.47000916312747,0.7862410207545251,779.5724052590217,56.606632263949194,0.8580632043718956,1422.3571082986005,70.07224254657129,0.5431010917718879,933.1267393134839,49.77063755906538,0.7827967918197797,765.4355478526401,44.426762413321256,0.8547325054152151,1387.5809481879,69.55741850411799,0.564545294640775,915.5136299687842,49.81501238769685,0.7796382952827156,745.1705436610699,44.67151602403276,0.8556871749633136,1373.1745021723405,68.85985027477741,0.2799480724598877,898.1428701536473,50.32106581563968,0.7797817884687185,729.9471168823344,45.570877792978386,0.856910569939927,1349.2963566066237,67.90959984549364,0.14492986259060156,899.4663298082143,51.77996885090218,0.7747895077983566,718.1343216404599,47.09049031875668,0.8574849353797399,1376.6360116292906,69.14371368614363,0.13970114153601207,899.4468936475633,58.67069865217272,0.7703887289756735,717.0313787802278,55.78501815943241,0.8546291215363463,1378.7034898121915,69.35551561177867,0.17701699068323817,899.8237970385409,53.246373364859934,0.766527340176903,712.586756105437,48.72469006829235,0.8535272783693798,1388.358688688486,69.98882232782637,0.17464786968647333,893.9062480283042,52.85518143180129,0.7662853448936661,703.4022165806484,48.186870788593815,0.8548038865548391,1387.7238532851625,70.1405478674614,0.16267000905954854,890.9918226378858,52.56407709589178,0.7653240980632108,702.5039898513925,47.83916187559812,0.8534687967922587,1380.576008211232,70.05903345211426,0.19655874772490858,888.7558363024925,52.33786945132026,0.7641433790922358,696.8511892264498,47.51643205109307,0.8540411159024219,1384.400646116791,70.19021874405338,0.09925691766197547,891.5471626801497,53.05172064790541,0.7605676787784941,701.4333457936193,48.400305193553116,0.8508810596439524,1384.2727287938499,70.27452922212875,-0.02195590310155059,896.3251052440376,53.15221549261195,0.7563003734965597,707.7974255163041,48.434694115572015,0.847006643217943,1386.7860667632299,70.61979464543556,-0.11066554219878964
Arizona(ESB),698.8980207999159,55.43698538876697,0.8503009707661974,701.5645332753766,55.695473949350806,0.8584727706208339,682.7896544923412,53.89639356768727,0.17440511558274327,742.0159537774772,91.05166798779041,0.8359849116342088,737.9395021753998,96.6377932281955,0.846016473064095,765.8617092695375,57.758361554975934,0.13068452202344488,778.9893706559221,69.86931162650268,0.8218682571666913,770.9467891485547,71.4978984459686,0.833213229566336,825.2991866333767,60.16293418248574,0.1301087680427688,811.8845095782999,55.250034418985116,0.8096144702696405,796.3450058183021,54.05709477599865,0.8236058190193428,898.9456852100737,62.35995469118446,-0.07957519039569325,848.5922377335179,58.252040222110224,0.7937282149631737,832.2005620176518,57.22192244669131,0.8099708202743272,940.3790770935514,64.39154216360689,-0.21105476333372247,881.1926941867047,108.49646846695926,0.7789962407893279,862.9444265061836,115.66839442855206,0.797993806332231,982.9508387226946,65.75178973586637,-0.24417280483680404,918.2565972705186,69.94335655906562,0.7641194056715066,890.2254168847248,70.2691865686843,0.7858959555445798,1070.201259758088,68.00140970173823,-0.1532229275982036,950.5094930434127,66.84321075123727,0.7496196932511958,922.1206039538647,66.7339706811346,0.771416213474254,1104.677848794346,67.49428156904925,-0.04675039078837967,980.1986070325642,77.19221427560996,0.7356534898587516,942.587853828104,78.6056264890169,0.760711434296042,1179.7462835765389,68.76827748370465,-0.05952835955491551,1000.9689954749657,97.3796268613907,0.7254651997628858,957.0688519079619,102.17075557538283,0.7526927727176512,1230.54843864685,68.82449972599773,-0.018921417793572263,1021.4827242028296,163.5192764665243,0.7150899557095304,968.9121091486571,179.31394621576027,0.7453578850537476,1291.1464627070193,69.38304476107814,0.018431924366358394,1039.3809134642554,465.60130641085243,0.7053327998039036,980.4174045008302,532.089642852462,0.7382114540445067,1337.9518992768901,69.33082121885876,0.03198676675026657,1059.3514415613888,112.35357417593235,0.6937892487834995,995.8637060501989,119.5293883988302,0.7290101414823766,1378.3656890574155,69.58572140746094,0.012876131173559704,1080.5198375011257,76.4511628446556,0.6809339693057354,1008.1078520284927,77.46179267070518,0.7205376601758788,1438.375305540501,70.4278090814001,-0.07777243059650482
